MovieID,Title,IMDbRating,Plot,Director,Actors,Genre,Runtime,Released
268,Little Odessa,6.7,A cold-blooded hitman visits his estranged Russian immigrant family in Brooklyn.,James Gray,"Tim Roth, Edward Furlong, Moira Kelly","Crime, Drama",98 min,19 May 1995
270,Love Affair,6.0,"Two people meet on a flight to Sydney. Although both are engaged to others, they fall in love during their evacuation after a forced landing, and agree to meet in New York City three months later if the attraction lasts.",Glenn Gordon Caron,"Warren Beatty, Annette Bening, Katharine Hepburn","Comedy, Drama, Romance",108 min,21 Oct 1994
271,Losing Isaiah,6.4,"The biological and adoptive mothers of a young boy are involved in a bitter, controversial custody battle.",Stephen Gyllenhaal,"Jessica Lange, Halle Berry, David Strathairn",Drama,111 min,17 Mar 1995
274,Man of the House,5.3,"A young boy refuses to accept his mother's new boyfriend despite his attempts to win his respect. Meanwhile, the disgruntled relative of a criminal he prosecuted seeks revenge.",James Orr,"Chevy Chase, Farrah Fawcett, Jonathan Taylor Thomas","Comedy, Family",96 min,03 Mar 1995
275,Mixed Nuts,5.4,The events focus around a crisis hotline business on one crazy night during the Christmas holidays.,Nora Ephron,"Steve Martin, Madeline Kahn, Robert Klein","Comedy, Drama",97 min,21 Dec 1994
276,Milk Money,5.6,A group of young boys befriend a prostitute named V.,Richard Benjamin,"Melanie Griffith, Ed Harris, Michael Patrick Carter","Comedy, Romance",110 min,31 Aug 1994
277,Miracle on 34th Street,6.6,A lawyer and a little girl must prove that a man claiming to be Santa Claus is the real thing.,Les Mayfield,"Richard Attenborough, Elizabeth Perkins, Dylan McDermott","Drama, Family, Fantasy",114 min,18 Nov 1994
278,Miami Rhapsody,5.4,"Gwyn begins doubting her ""yes"" to Matt's wedding proposal, when she hears about her parents' and brother's adultery.",David Frankel,"Sarah Jessica Parker, Mia Farrow, Antonio Banderas","Comedy, Romance",95 min,27 Jan 1995
279,My Family,7.3,A man makes his way from Mexico to Los Angeles in the 1920s and gets married and raises a big family there. The movie follows the children until they get married and start their families in the 1960s.,Gregory Nava,"Jimmy Smits, Esai Morales, Edward James Olmos",Drama,128 min,03 May 1995
280,Murder in the First,7.3,An eager and idealistic young attorney defends an Alcatraz prisoner accused of murdering a fellow inmate. The extenuating circumstances: his client had just spent over three years in solitary confinement.,Marc Rocco,"Christian Slater, Kevin Bacon, Gary Oldman","Drama, Thriller",122 min,20 Jan 1995
281,Nobody's Fool,7.3,A stubborn man past his prime reflects on his life of strict independence and seeks more from himself.,Robert Benton,"Paul Newman, Bruce Willis, Jessica Tandy","Comedy, Drama",110 min,13 Jan 1995
282,Nell,6.5,"In a remote woodland cabin, a small-town doctor discovers Nell - a beautiful young hermit-woman with many secrets.",Michael Apted,"Jodie Foster, Liam Neeson, Natasha Richardson",Drama,112 min,23 Dec 1994
283,New Jersey Drive,6.6,"Jason and Midget are two young, black teenagers living in Newark,New Jersey, the unofficial car theft capital of the world. Their favourite pastime is that of everybody in their neighbourhood: stealing cars and joyriding. The trou...",Nick Gomez,"Shar-Ron Corley, Gabriel Casseus, Saul Stein","Crime, Drama",98 min,19 Apr 1995
286,Nemesis 2: Nebula,3.8,"It has been 73 years since Alex failed and the Humans lost the Cyborg Wars. Since then, the Humans have been enslaved. Scientists have developed a new DNA strain, which could signal the end...",Albert Pyun,"Sue Price, Chad Stahelski, Tina Cote, Earl White","Action, Sci-Fi, Thriller",83 min,26 Sep 1995
287,Nina Takes a Lover,5.4,A lonely young woman decides to kindle her passions in a fling with a married photographer after feeling challenged by her own best friend's affair.,Alan Jacobs,"Laura San Giacomo, Paul Rhys, Michael O'Keefe","Comedy, Drama, Romance",98 min,03 Mar 1995
288,Natural Born Killers,7.2,Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.,Oliver Stone,"Woody Harrelson, Juliette Lewis, O-Lan Jones","Crime, Romance",119 min,26 Aug 1994
289,Only You,6.5,"As a teen, Faith was told that her destiny is a man named Damon Bradley. Years later, when she's about to marry someone else, a Damon Bradley calls to wish them well, and Faith blows off her wedding to follow Damon to Italy.",Norman Jewison,"Marisa Tomei, Robert Downey Jr., Bonnie Hunt","Comedy, Romance",109 min,07 Oct 1994
290,Once Were Warriors,7.9,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.,Lee Tamahori,"Rena Owen, Temuera Morrison, Mamaengaroa Kerr-Bell","Crime, Drama",102 min,03 Mar 1995
292,Outbreak,6.6,A team of Army doctors struggle to find a cure for the deadly Motaba virus that was transported from Africa to North America by a white-headed Capuchin monkey and is now spreading quickly throughout a small California town.,Wolfgang Petersen,"Dustin Hoffman, Rene Russo, Morgan Freeman","Action, Drama, Thriller",127 min,10 Mar 1995
296,Pulp Fiction,8.9,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson","Crime, Drama",154 min,14 Oct 1994
297,Panther,6.4,A dramatized account of the story of The Black Panther Party of Self-Defense.,Mario Van Peebles,"Kadeem Hardison, Bokeem Woodbine, Joe Don Baker",Drama,124 min,03 May 1995
299,Priest,7.1,"A homosexual Catholic priest finds out during confessional that a young girl is being sexually abused by her father, and has to decide how to deal with both that secret and his own.",Antonia Bird,"Linus Roache, Tom Wilkinson, Robert Carlyle","Drama, Romance",98 min,24 Mar 1995
300,Quiz Show,7.5,"A young lawyer, Richard Goodwin, investigates a potentially fixed game show. Charles Van Doren, a big time show winner, is under Goodwin's investigation.",Robert Redford,"Ralph Fiennes, John Turturro, Rob Morrow","Biography, Drama, History",133 min,07 Oct 1994
304,Roommates,6.4,An elderly yet young-at-heart man moves in with his grandson and both their lives turn upside-down.,Peter Yates,"Peter Falk, D.B. Sweeney, Julianne Moore","Comedy, Drama",108 min,03 Mar 1995
306,Three Colors: Red,8.1,A model discovers a retired judge is keen on invading people's privacy.,Krzysztof Kieslowski,"Irène Jacob, Jean-Louis Trintignant, Frédérique Feder","Drama, Mystery, Romance",99 min,23 Nov 1994
307,Three Colors: Blue,7.8,A woman struggles to find a way to live her life after the death of her husband and child.,Krzysztof Kieslowski,"Juliette Binoche, Zbigniew Zamachowski, Julie Delpy","Drama, Music, Mystery",98 min,08 Sep 1993
308,Three Colors: White,7.6,"After his wife divorces him, a Polish immigrant plots to get even with her.",Krzysztof Kieslowski,"Zbigniew Zamachowski, Julie Delpy, Janusz Gajos","Comedy, Drama, Romance",92 min,10 Jun 1994
310,Rent-a-Kid,5.4,"Harry Haber, the owner of a rent office, has an original idea: to rent babies from a nearby orphanage to the local families. He rents the three Ward children to his first customers.",Fred Gerber,"Leslie Nielsen, Christopher Lloyd, Matt McCoy","Drama, Family, Comedy",85 min,04 Nov 1995
311,Relative Fear,5.5,Just why are people surrounding Adam Pratman dropping down dead? Is this five year old really a murderous sociopath?,George Mihalka,"Darlanne Fluegel, Martin Neufeld, James Brolin","Drama, Horror, Thriller",94 min,03 Oct 1995
312,Stuart Saves His Family,5.3,A self-help advocate struggles to put his dysfunctional family in its place.,Harold Ramis,"Al Franken, Laura San Giacomo, Vincent D'Onofrio","Comedy, Drama",95 min,12 Apr 1995
316,Stargate,7.0,"An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra.",Roland Emmerich,"Kurt Russell, James Spader, Jaye Davidson","Action, Adventure, Sci-Fi",116 min,28 Oct 1994
319,Shallow Grave,7.2,Three friends discover their new flatmate dead but loaded with cash.,Danny Boyle,"Kerry Fox, Christopher Eccleston, Ewan McGregor","Crime, Drama, Thriller",89 min,10 Feb 1995
320,Suture,6.5,"After his brother tries to kill him, a man survives only to find himself in another man's body.","Scott McGehee, David Siegel","Dennis Haysbert, Mel Harris, Sab Shimono","Drama, Thriller",96 min,24 Aug 1994
325,National Lampoon's Senior Trip,5.6,"To embarrass his rival, a scheming senator uses nitwit Ohio teens who are invited to a Washington gathering on educational failure.",Kelly Makin,"Matt Frewer, Valerie Mahaffey, Lawrence Dane","Adventure, Comedy",91 min,08 Sep 1995
327,Tank Girl,5.4,"A girl is among the few survivors of a dystopian Earth. Riding a war tank, she fights against the tyranny of a mega-corporation that dominates the remaining potable water supply of the planet.",Rachel Talalay,"Lori Petty, Ice-T, Naomi Watts","Action, Comedy, Sci-Fi",104 min,31 Mar 1995
329,Star Trek: Generations,6.6,"With the help of long presumed dead Captain Kirk, Captain Picard must stop a deranged scientist willing to murder on a planetary scale in order to enter a space matrix.",David Carson,"Patrick Stewart, William Shatner, Malcolm McDowell","Action, Adventure, Mystery",118 min,18 Nov 1994
330,Tales from the Hood,6.5,A funeral director tells four strange tales of horror with an African American focus to three drug dealers he traps in his place of business.,Rusty Cundieff,"Clarence Williams III, Corbin Bernsen, Joe Torry","Crime, Drama, Horror",98 min,24 May 1995
331,Tom & Viv,6.2,"In 1915, Tom and Viv elope, but her gynecological and emotional problems disrupt their honeymoon. Her father is angry because Tom's poetry doesn't bring in enough to live, but her mother is happy Viv has found a tender and discree...",Brian Gilbert,"Willem Dafoe, Miranda Richardson, Rosemary Harris","Biography, Drama, Romance",115 min,15 Apr 1994
332,Village of the Damned,5.6,A small town's women give birth to unfriendly alien children posing as humans.,John Carpenter,"Christopher Reeve, Kirstie Alley, Linda Kozlowski","Horror, Sci-Fi, Thriller",98 min,28 Apr 1995
333,Tommy Boy,7.1,"After his auto-parts tycoon father dies, the overweight, underachieving son teams up with a snide accountant to try and save the family business.",Peter Segal,"Chris Farley, David Spade, Brian Dennehy","Adventure, Comedy",97 min,31 Mar 1995
334,Vanya on 42nd Street,7.3,"New York actors rehearse Chekhov's ""Uncle Vanya"" in a dilapidated theatre.",Louis Malle,"Wallace Shawn, Phoebe Brand, George Gaynes","Comedy, Drama, Romance",119 min,19 Oct 1994
337,What's Eating Gilbert Grape,7.7,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.,Lasse Hallström,"Johnny Depp, Leonardo DiCaprio, Juliette Lewis",Drama,118 min,04 Mar 1994
338,Virtuosity,5.5,"When a virtual reality simulation created using the personalities of multiple serial killers manages to escape into the real world, an ex-cop is tasked with stopping its reign of terror.",Brett Leonard,"Denzel Washington, Russell Crowe, Kelly Lynch","Action, Crime, Sci-Fi",106 min,04 Aug 1995
339,While You Were Sleeping,6.8,A hopelessly romantic Chicago Transit Authority ticket booth operator is mistaken for the fiancée of a comatose patient.,Jon Turteltaub,"Sandra Bullock, Bill Pullman, Peter Gallagher","Comedy, Drama, Romance",103 min,21 Apr 1995
341,Double Happiness,7.1,"East clashes with West and generations collide as a young Chinese woman struggles to appease her old-fashioned father, and at the same time pursue her modern dreams.",Mina Shum,"Sandra Oh, Stephen Chang, Claudette Carracedo","Drama, Romance",87 min,28 Jul 1995
342,Muriel's Wedding,7.2,"A young social outcast in Australia steals money from her parents to finance a vacation where she hopes to find happiness, and perhaps love.",P.J. Hogan,"Toni Collette, Rachel Griffiths, Bill Hunter","Comedy, Drama",106 min,31 Mar 1995
344,Ace Ventura: Pet Detective,6.9,A goofy detective specializing in animals goes in search of the missing mascot of the Miami Dolphins.,Tom Shadyac,"Jim Carrey, Courteney Cox, Sean Young",Comedy,86 min,04 Feb 1994
347,Bitter Moon,7.2,"After hearing stories of her, a passenger on a cruise ship develops an irresistible infatuation with an eccentric paraplegic's wife.",Roman Polanski,"Hugh Grant, Kristin Scott Thomas, Emmanuelle Seigner","Drama, Romance, Thriller",139 min,18 Mar 1994
348,Bullets Over Broadway,7.4,"In New York in 1928, a struggling playwright is forced to cast a mobster's talentless girlfriend in his latest drama in order to get it produced.",Woody Allen,"John Cusack, Dianne Wiest, Jennifer Tilly","Comedy, Crime",98 min,24 Feb 1995
349,Clear and Present Danger,6.9,CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.,Phillip Noyce,"Harrison Ford, Willem Dafoe, Anne Archer","Action, Crime, Drama",141 min,03 Aug 1994
351,"Corrina, Corrina",6.6,"In 1959, a widower hires a warm-hearted housekeeper/nanny to care for his seven-year-old daughter.",Jessie Nelson,"Ray Liotta, Whoopi Goldberg, Tina Majorino","Comedy, Drama, Romance",115 min,26 Aug 1994
352,Crooklyn,7.0,"Spike Lee's vibrant semi-autobiographical portrait of a school teacher, her stubborn jazz musician husband and their five kids living in Brooklyn in 1973.",Spike Lee,"Alfre Woodard, Delroy Lindo, David Patrick Kelly","Comedy, Drama",115 min,13 May 1994
354,Cobb,6.4,A reporter hired to write the 'official' biography of Ty Cobb discovers just how dark the baseball legend's real story is.,Ron Shelton,"Tommy Lee Jones, Robert Wuhl, Lolita Davidovich","Biography, Drama, Sport",128 min,02 Dec 1994
356,Forrest Gump,8.8,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise","Drama, Romance",142 min,06 Jul 1994
357,Four Weddings and a Funeral,7.1,"Over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love.",Mike Newell,"Hugh Grant, Andie MacDowell, James Fleet","Comedy, Drama, Romance",117 min,15 Apr 1994
358,Higher Learning,6.5,"People from all different walks of life, encounter racial tension, rape, responsibility, and the meaning of an education on a university campus.",John Singleton,"Omar Epps, Kristy Swanson, Michael Rapaport","Crime, Drama, Thriller",128 min,11 Jan 1995
359,I Like It Like That,6.7,Money issues and misunderstandings divide a couple who struggle to raise their children in the Bronx.,Darnell Martin,"Luna Lauren Velez, Jon Seda, Tomas Melly","Comedy, Drama, Romance",104 min,14 Oct 1994
360,I Love Trouble,5.3,Peter Brackett and Sabrina Peterson are two competing Chicago newspaper reporters who join forces to unravel the mystery behind a train derailment.,Charles Shyer,"Nick Nolte, Julia Roberts, Saul Rubinek","Action, Comedy, Romance",123 min,29 Jun 1994
361,It Could Happen to You,6.4,A police officer promises to share his lottery ticket with a waitress in lieu of a tip.,Andrew Bergman,"Nicolas Cage, Bridget Fonda, Rosie Perez","Comedy, Drama, Romance",101 min,29 Jul 1994
365,Little Buddha,6.1,"After the death of Lama Dorje, Tibetan Buddhist monks find three children - one American and two Nepalese - who may be the rebirth of their great teacher.",Bernardo Bertolucci,"Keanu Reeves, Bridget Fonda, Ruocheng Ying",Drama,123 min,25 May 1994
368,Maverick,7.0,"Bret Maverick, needing money for a poker tournament, faces various comic mishaps and challenges, including a charming woman thief.",Richard Donner,"Mel Gibson, Jodie Foster, James Garner","Action, Adventure, Comedy",127 min,20 May 1994
369,Mrs. Parker and the Vicious Circle,6.4,"Dorothy Parker remembers the heyday of the Algonquin Round Table, a circle of friends whose barbed wit, like hers, was fueled by alcohol and flirted with despair.",Alan Rudolph,"Jennifer Jason Leigh, Campbell Scott, Matthew Broderick","Biography, Drama",125 min,23 Nov 1994
370,Naked Gun 33 1/3: The Final Insult,6.5,Frank Drebin comes out of retirement to help Police Squad infiltrate a gang of terrorists planning to detonate a bomb at the Academy Awards.,Peter Segal,"Leslie Nielsen, Priscilla Presley, George Kennedy","Comedy, Crime",83 min,18 Mar 1994
372,Reality Bites,6.6,"A documentary filmmaker and her fellow Generation X graduates face life after college, looking for work and love in Houston.",Ben Stiller,"Winona Ryder, Ethan Hawke, Janeane Garofalo","Comedy, Drama, Romance",99 min,18 Feb 1994
374,Richie Rich,5.4,"Richie Rich is the richest kid in the world. The one thing Richie doesn't have is friends. When his parents suddenly go missing, Richie hooks up with a group of kids who just might fill the void in his life, while helping save his...",Donald Petrie,"Macaulay Culkin, Edward Herrmann, John Larroquette","Comedy, Family",95 min,21 Dec 1994
375,Safe Passage,6.3,A mother with seven sons feels like she's losing control of her life and her family. But personal pain and a troubled marriage fade into the background as news comes that one of her sons might have died in an accident.,Robert Allan Ackerman,"Susan Sarandon, Sam Shepard, Nick Stahl",Drama,98 min,06 Jan 1995
377,Speed,7.3,A young police officer must prevent a bomb exploding aboard a city bus by keeping its speed above 50 mph.,Jan de Bont,"Keanu Reeves, Dennis Hopper, Sandra Bullock","Action, Adventure, Thriller",116 min,10 Jun 1994
378,Speechless,5.8,Two political speechwriters fall in love before they find out they are working for candidates on opposite sides.,Ron Underwood,"Michael Keaton, Geena Davis, Christopher Reeve","Comedy, Romance",99 min,16 Dec 1994
379,Timecop,5.9,"Max Walker, an officer for a security agency that regulates time travel, must fend for his life against a shady politician who's intent on changing the past to control the future.",Peter Hyams,"Jean-Claude Van Damme, Mia Sara, Ron Silver","Action, Crime, Sci-Fi",99 min,16 Sep 1994
380,True Lies,7.3,"A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used-car salesman while terrorists smuggle nuclear war heads into the United S...",James Cameron,"Arnold Schwarzenegger, Jamie Lee Curtis, Tom Arnold","Action, Comedy, Thriller",141 min,15 Jul 1994
381,When a Man Loves a Woman,6.6,The seemingly perfect relationship between a man and his wife is tested as a result of her alcoholism.,Luis Mandoki,"Meg Ryan, Andy Garcia, Ellen Burstyn","Drama, Romance",126 min,13 May 1994
382,Wolf,6.3,Publisher Will Randall becomes a demon wolf and has to fight to keep his job.,Mike Nichols,"Jack Nicholson, Michelle Pfeiffer, James Spader","Drama, Horror, Romance",125 min,17 Jun 1994
383,Wyatt Earp,6.7,"From Wichita to Dodge City, to the O.K. Corral in Tombstone, a man becomes a myth in this thrilling journey of romance, adventure, and desperate heroic action.",Lawrence Kasdan,"Kevin Costner, Dennis Quaid, Gene Hackman","Adventure, Biography, Drama",191 min,24 Jun 1994
384,Bad Company,5.4,"CIA agent Crowe is forced to join Grimes Organization for blackmail operations. He works with Wells targeting a judge, while Stapp uncovers his CIA past.",Damian Harris,"Ellen Barkin, Laurence Fishburne, Frank Langella","Crime, Drama, Thriller",108 min,20 Jan 1995
386,S.F.W.,5.7,An alienated and misanthropic teenager gains sudden and unwanted celebrity status after he's taken hostage by terrorists where his indifference to their threats to kill him makes news headlines.,Jefery Levy,"Stephen Dorff, Reese Witherspoon, Jake Busey","Comedy, Drama",96 min,20 Jan 1995
390,"Faster, Pussycat! Kill! Kill!",6.6,"Three thrill-seeking go-go dancers kidnap a young girl and attempt to swindle an old rancher and his two sons out of their small fortune, but their scheme does not play out as they intended.",Russ Meyer,"Tura Satana, Haji, Lori Williams","Action, Comedy",83 min,06 Aug 1965
391,Jason's Lyric,6.6,"Two brothers, survivors of family tragedy, take different life paths: one falls for a high-spirited waitress and dreams of success, the other follows a life of petty crime. Their lives reconnect in shattering fashion.",Doug McHenry,"Allen Payne, Jada Pinkett Smith, Bokeem Woodbine","Crime, Drama, Romance",119 min,28 Sep 1994
393,Street Fighter,4.1,"In the midst of a civil war in South East Asia, a general intensifies the climate of violence by kidnapping 63 UN delegates. To free the hostages, a colonel leads a group of fighters, who will have to use all their skills to be su...",Steven E. de Souza,"Jean-Claude Van Damme, Raul Julia, Ming-Na Wen","Action, Adventure, Comedy",102 min,23 Dec 1994
394,Coldblooded,6.7,A bookie is promoted to Hitman and seemingly excels at his new found job.,Wallace Wolodarsky,"Jason Priestley, Kimberly Williams-Paisley, Peter Riegert","Action, Comedy, Thriller",92 min,15 Sep 1995
396,Fall Time,5.4,"Three young men decide to plan a mock kidnapping, but everything goes wrong because a real bank robbery was already planned by two other guys.",Paul Warner,"Steve Alden, David Arquette, Stephen Baldwin","Crime, Drama",88 min,13 May 1995
398,Frank and Ollie,7.6,"A study of the personal and professional relationship of Disney animators Frank Thomas and Ollie Johnston, who started at the studio in the 1930s and worked on 23 films together.",Theodore Thomas,"Frank Thomas, Ollie Johnston, Sylvia Roemer",Documentary,89 min,20 Oct 1995
399,Girl in the Cadillac,4.8,"Mandy, a modern teenage ""Lolita"" with a wild sense of adventure and a burning desire to taste life, buys a ticket out of her one-horse town of Paint Rock, Texas, hitting the road to love, life and self-discovery.",Lucas Platt,"Erika Eleniak, William McNamara, Michael Lerner","Adventure, Crime, Drama",89 min,21 Jul 1995
400,Homage,5.6,"In New Mexico, the widow and former teacher Katherine Samuel reluctantly hires the lonely mathematician and genius Archie Landrum to be her gardener and soon they become good friends. When her estranged daughter Lucille ""Lucy"" Sam...",Ross Kagan Marks,"Blythe Danner, Frank Whaley, Sheryl Lee","Crime, Drama, Thriller",97 min,03 May 1996
401,Mirage,4.9,Matteo Juarez is a retired detective hired by a local businessman to follow his wife Jennifer. She has a split personality and seems to be putting herself in danger without knowing it.,Paul Williams,"James Andronica, Cuauhtemoc Rivas, Edward James Olmos","Action, Thriller",92 min,01 Jan 1995
404,Brother Minister: The Assassination of Malcolm X,7.3,"Brother Minister reveals the mystery surrounding the assassination of Malcolm X at the Audubon Ballroom in New York City on February 21, 1965. It probes the innocence of two of the convicted assassins, reveals the true identity of...","Jefri Aalmuhammed, Jack Baxter","A. Peter Bailey, Roscoe Lee Browne, John Henrik Clarke",Documentary,115 min,01 Mar 1995
406,Federal Hill,6.3,"On the mean streets of Providence, five friends struggle for a future in the mob-infested neighborhood known as Federal hill. Petty burglar Ralph and his drug-dealing friend Nicky are inseparable until Nicky meets a beautiful….",Michael Corrente,"Nicholas Turturro, Anthony DeSando, Libby Langdon","Crime, Drama",97 min,24 Feb 1995
408,8 Seconds,6.6,"This movie chronicles the life of Lane Frost, 1987 PRCA Bull Riding World Champion, his marriage and his friendships with Tuff Hedeman (three-time World Champion) and Cody Lambert.",John G. Avildsen,"Luke Perry, Stephen Baldwin, James Rebhorn","Biography, Drama, Sport",105 min,25 Feb 1994
409,Above the Rim,6.6,"Story of a promising high school basketball star and his relationships with two brothers, one a drug dealer and the other a former basketball star fallen on hard times and now employed as a security guard.",Jeff Pollack,"Duane Martin, Tupac Shakur, Leon","Crime, Drama, Sport",96 min,23 Mar 1994
410,Addams Family Values,6.8,"The Addams Family try to rescue their beloved Uncle Fester from his gold-digging new love, a black widow named Debbie.",Barry Sonnenfeld,"Anjelica Huston, Raul Julia, Christopher Lloyd","Comedy, Fantasy",94 min,19 Nov 1993
411,Martin Lawrence: You So Crazy,6.6,"Stand up comedy by Martin Lawrence, filmed in the Majestic Theater in New York City. Martin Lawrence talks about everything from racism, to relationships, to his childhood.",Thomas Schlamme,Martin Lawrence,"Documentary, Comedy",84 min,27 Apr 1994
413,Airheads,6.2,Three band members hoping for a big break head to a radio station to play their demo tape and wind up holding everyone hostage with plastic guns when the head D.J. refuses to play them.,Michael Lehmann,"Brendan Fraser, Steve Buscemi, Adam Sandler","Comedy, Crime, Music",92 min,05 Aug 1994
415,Another Stakeout,5.6,Immature detectives Chris Lecce and Bill Reimers are joined by pesky assistant district attorney Gina Garrett in staking out a lakeside home where Mafia trial witness Luella Delano is believed to be heading.,John Badham,"Richard Dreyfuss, Emilio Estevez, Rosie O'Donnell","Comedy, Crime",108 min,23 Jul 1993
416,Bad Girls,5.2,Four prostitutes join together to travel the Old West.,Jonathan Kaplan,"Madeleine Stowe, Mary Stuart Masterson, Andie MacDowell","Action, Adventure, Drama",99 min,22 Apr 1994
417,Barcelona,7.0,"An American working in Barcelona, having sworn off beautiful women, is forced to be host to his playboy cousin in this witty comedy of good intentions and mixed signals.",Whit Stillman,"Taylor Nichols, Chris Eigeman, Tushka Bergen","Comedy, Drama, Romance",101 min,29 Jul 1994
420,Beverly Hills Cop III,5.5,"Axel Foley, while investigating a car theft ring, comes across something much bigger than that: the same men who killed his boss are running a counterfeit money ring out of a theme park in Los Angeles.",John Landis,"Eddie Murphy, Jon Tenney, Joey Travolta","Action, Comedy, Crime",104 min,25 May 1994
421,Black Beauty,6.6,"The fates of horses, and the people who own and command them, are revealed as Black Beauty narrates the circle of his life.",Caroline Thompson,"Sean Bean, David Thewlis, Docs Keepin Time","Adventure, Drama, Family",88 min,29 Jul 1994
423,Blown Away,6.2,An Irish bomber escapes from prison and targets a member of the Boston bomb squad.,Stephen Hopkins,"Jeff Bridges, Tommy Lee Jones, Suzy Amis","Action, Crime, Drama",121 min,01 Jul 1994
424,Blue Chips,6.3,A college basketball coach is forced to break the rules in order to get the players he needs to stay competitive.,William Friedkin,"Nick Nolte, Mary McDonnell, J.T. Walsh","Drama, Sport",108 min,18 Feb 1994
425,Blue Sky,6.4,"Carly moves with her military husband and their two daughters to an isolated army base, only to quickly become part of a cover-up involving nuclear bomb tests.",Tony Richardson,"Jessica Lange, Tommy Lee Jones, Powers Boothe","Drama, Romance",101 min,16 Sep 1994
426,Body Snatchers,6.0,A teenage girl and her father discover alien clones are replacing humans on a remote U.S. military base in Alabama.,Abel Ferrara,"Gabrielle Anwar, Meg Tilly, Terry Kinney","Horror, Sci-Fi",87 min,18 Feb 1994
427,Boxing Helena,4.7,"A surgeon becomes obsessed with the seductive woman he once was in an affair with. Refusing to accept that she has moved on, he amputates her limbs and holds her captive in his mansion.",Jennifer Lynch,"Julian Sands, Sherilyn Fenn, Bill Paxton","Drama, Mystery, Romance",107 min,03 Sep 1993
429,Cabin Boy,5.3,A snobby finishing school graduate mistakenly winds up on an ill-fated fishing boat and faces the wrath of a crew that considers him bad luck.,Adam Resnick,"Chris Elliott, Ritch Brinkley, James Gammon","Adventure, Comedy, Romance",80 min,07 Jan 1994
430,Calendar Girl,5.1,"Three young men go on an end of the summer trip to Hollywood, California. Their quest: to fulfill the fantasy of meeting Marilyn Monroe.",John Whitesell,"Jason Priestley, Gabriel Olds, Jerry O'Connell","Comedy, Drama",90 min,03 Sep 1993
431,Carlito's Way,7.9,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",Brian De Palma,"Al Pacino, Sean Penn, Penelope Ann Miller","Crime, Drama, Thriller",144 min,12 Nov 1993
432,City Slickers II: The Legend of Curly's Gold,5.6,"One year after their first adventure, Mitch Robbins and his friends discover a treasure map that belonged to their late trail guide Curly and they set out to discover its secrets.",Paul Weiland,"Billy Crystal, Jack Palance, Daniel Stern","Comedy, Western",116 min,10 Jun 1994
433,Clean Slate,5.7,A private eye who suffers total amnesia every twenty-four hours is deeply entangled in a complicated murder and theft case.,Mick Jackson,"Dana Carvey, Valeria Golino, James Earl Jones","Comedy, Mystery",107 min,06 May 1994
434,Cliffhanger,6.5,A botched mid-air heist results in suitcases full of cash being searched for by various groups throughout the Rocky Mountains.,Renny Harlin,"Sylvester Stallone, John Lithgow, Michael Rooker","Action, Adventure, Thriller",113 min,28 May 1993
435,Coneheads,5.4,Aliens with conical crania crash-land on Earth.,Steve Barron,"Dan Aykroyd, Jane Curtin, Robert Knott","Comedy, Sci-Fi",88 min,23 Jul 1993
436,Color of Night,5.2,"A color-blind psychoanalyst is stalked by an unknown killer after taking over his murdered friend's therapy group, all of whom have a connection to a mysterious young woman that he begins having intense sexual encounters with.",Richard Rush,"Bruce Willis, Jane March, Rubén Blades","Drama, Mystery, Romance",121 min,19 Aug 1994
437,Cops and Robbersons,5.2,"A counterfeiter with a habit of ""eliminating"" the competition moves in next door to the Robbersons. Two cops move in with the Robbersons for a stakeout.",Michael Ritchie,"Chevy Chase, Jack Palance, Dianne Wiest","Comedy, Crime, Thriller",93 min,15 Apr 1994
439,Dangerous Game,5.6,"A New York City film director working on his latest movie in Los Angeles begins to reflect the actions in his movie and real life, especially when he begins an affair with the lead actress.",Abel Ferrara,"Harvey Keitel, Madonna, James Russo",Drama,108 min,19 Nov 1993
440,Dave,6.9,An uncanny Presidential lookalike named Dave is recruited by the Secret Service to become a momentary stand-in for the President of the United States.,Ivan Reitman,"Kevin Kline, Sigourney Weaver, Frank Langella","Comedy, Romance",110 min,07 May 1993
441,Dazed and Confused,7.6,The adventures of high school and junior high students on the last day of school in May 1976.,Richard Linklater,"Jason London, Wiley Wiggins, Matthew McConaughey",Comedy,103 min,24 Sep 1993
